ID,FF,composition,T,Hydration,Q_FF,Q_OP,Q_OP_tails,Q_OP_heads
829,Sage 2.2.1,POPC (1),300.0,40.0,0.0089,0.5107,0.7091,0.114
546,CHARMM36,POPC (1),298.15,50.0,0.0085,0.3669,0.2666,0.5675
661,Slipids,CHOL:POPC (5:8),298.15,50.0,0.0078,,,
730,AMOEBA,POPE (1),310.0,40.0,0.0069,0.1774,0.1632,0.2059
88,CHARMM36,CHOL:POPC (1:4),298.15,50.0,0.0036,,,
833,FF-development,POPC (1),300.0,40.0,0.0029,0.2948,0.1773,0.5299
761,OpenFF,POPC (1),300.0,39.1,0.0019,0.568,0.5584,0.5872
679,MacRog,CHOL:POPC (5:8),298.15,50.0,0.0015,,,
82,slipids,CHOL:POPC (1:1),298.0,39.7,0.0014,0.4174,0.3907,0.1765
72,CHARMM36,CHOL:POPC (1:4),298.15,50.0,0.0014,,,
550,CHARMM36,CHOL:POPC (5:8),298.15,50.0,0.0007,,,
716,MacRog,CHOL:POPC (5:8),298.15,50.0,0.0007,,,
832,FF-development,POPC (1),300.0,40.0,0.0007,0.2767,0.1768,0.4766
525,CHARMM36,CHOL:POPC (1:4),298.15,50.0,0.0006,,,
275,CHARMM36,CHOL:POPC (5:8),298.15,50.0,0.0004,,,
620,CHARMM36,CHOL:POPC (5:8),298.15,50.0,0.0003,,,
682,Slipids,CHOL:POPC (7:8),298.15,50.0,0.0003,0.3653,0.334,0.1681
703,Slipids,CHOL:POPC (7:8),298.15,50.0,0.0003,0.3257,0.2892,0.1583
698,MacRog,CHOL:POPC (5:8),298.15,50.0,0.0003,,,
712,Slipids,CHOL:POPC (7:8),298.15,50.0,0.0003,0.36,0.3283,0.1671
792,OpenFF,POPC (1),300.0,39.1,0.0002,0.5635,0.5485,0.5935
836,FF-development,POPC (1),300.0,40.0,0.0001,0.3347,0.4433,0.1176
704,MacRog,CHOL:POPC (7:8),298.15,50.0,0.0001,0.218,0.1541,0.175
838,Parsley 1.3.1,POPC (1),300.0,40.0,0.0,0.183,0.0182,0.5127
543,CHARMM36,CHOL:POPC (7:8),298.15,50.0,0.0,0.3336,0.2788,0.1866
707,Lipid17,CHOL:POPC (7:8),298.15,50.0,0.0,0.4431,0.4592,0.1541
717,Lipid17,CHOL:POPC (7:8),298.15,50.0,0.0,0.4908,0.515,0.1699
834,Sage2.2.0 Espaloma Charges,POPC (1),300.0,40.0,0.0,0.3115,0.1992,0.5361
166,CHARMM36,CHOL:POPC (7:8),298.15,50.0,0.0,0.3354,0.2842,0.184
699,MacRog,CHOL:POPC (7:8),298.15,50.0,0.0,0.2997,0.2274,0.1863
91,CHARMM36,CHOL:POPC (7:8),298.15,50.0,0.0,0.3211,0.2694,0.1776
835,FF-development,POPC (1),300.0,40.0,0.0,0.1023,0.0058,0.2953
731,Charmm-Drude,POPE (1),310.0,35.0,0.0,0.2249,0.3077,0.0593
714,Lipid17,CHOL:POPC (7:8),298.15,50.0,0.0,0.4714,0.4903,0.1653
671,MacRog,CHOL:POPC (7:8),298.15,50.0,0.0,0.3119,0.2321,0.196
828,Sage 2.2.1,POPC (1),300.0,40.0,0.0,0.3899,0.3101,0.5495
765,Charmm36,SM16 (1),328.15,45.0,0.0,0.3412,0.3412,0.0
